"","PlayerName","Elig. Pos.","Team","H","2B","3B","HR","R","RBI","BB","SO","SB","Points"
"77","Tommy_Edman","2B/SS/OF","STL",44,9,1,4,25,19,13,31,8,101
"78","Alec_Bohm","3B/1B","PHI",50,9,0,5,23,25,14,37,2,101
"79","Jose_Abreu","1B","HOU",50,10,0,6,24,27,16,43,0,101
"80","Isaac_Paredes","3B/1B/2B","TBR",35,7,0,8,22,24,19,30,0,100
"81","Orlando_Arcia","2B/SS","ATL",47,8,0,6,24,25,16,38,1,100
"82","Seiya_Suzuki","OF","CHC",43,9,1,7,24,22,20,44,3,100
"83","Nick_Castellanos","OF","PHI",50,12,0,7,25,28,12,50,2,100
"84","DJ_LeMahieu","3B/1B/2B","NYY",46,8,1,4,23,20,20,33,1,99
"85","Ryan_McMahon","3B/2B","COL",45,9,1,8,25,26,21,55,2,99
"86","TJ_Friedl","OF","CIN",40,7,2,5,23,20,16,33,6,99
"87","Spencer_Steer","3B/1B/OF","CIN",40,8,1,7,23,25,17,39,2,99
"88","Gunnar_Henderson","3B/SS","BAL",40,7,2,7,27,23,22,49,3,98
"89","Cedric_Mullins","OF","BAL",41,8,1,5,23,20,15,34,9,98
"90","Jeremy_Pena","SS","HOU",46,8,1,7,25,24,12,46,5,98
"91","Triston_Casas","1B","BOS",38,8,1,7,23,23,24,42,1,98
"92","Brendan_Rodgers","2B","COL",47,10,1,5,23,23,13,35,0,98
"93","Lane_Thomas","OF","WSN",47,10,1,7,26,23,16,51,4,98
"94","Andrew_McCutchen","OF","PIT",40,8,0,6,23,20,25,40,4,98
"95","Joey_Meneses","1B/OF","WSN",50,10,0,7,22,26,13,44,0,98
"96","J_P_Crawford","SS","SEA",45,10,0,3,25,17,24,33,1,97
"97","Josh_Jung","3B","TEX",48,10,1,9,26,29,12,59,1,97
"98","Hunter_Renfroe","OF","LAA",41,9,0,9,23,25,15,43,0,97
"99","Henry_Davis","C/OF","PIT",42,9,1,6,24,26,19,47,4,97
"100","Tim_Anderson","SS","CHW",54,9,1,4,26,18,9,40,6,96
"101","Austin_Hays","OF","BAL",47,11,1,6,24,23,12,42,1,96
"102","Jazz_Chisholm_Jr","2B/OF","MIA",41,7,1,8,25,24,14,51,10,95
"103","Jorge_Polanco","2B","MIN",41,9,0,6,23,22,17,36,2,95
"104","KeBryan_Hayes","3B","PIT",46,10,2,4,24,19,16,42,6,95
"105","Jake_Cronenworth","2B/1B","SDP",40,9,2,4,23,21,19,35,2,95
"106","Salvador_Perez","C","KCR",46,8,0,10,22,28,8,47,0,95
"107","Sean_Murphy","C","ATL",38,9,0,7,23,26,17,39,0,94
"108","Max_Kepler","OF","MIN",36,8,0,7,22,21,17,32,1,94
"109","CJ_Abrams","SS","WSN",46,10,1,4,25,19,8,37,9,94
"110","Joc_Pederson","OF","SFG",37,7,1,7,23,23,19,39,1,94
"111","Will_Brennan","OF","CLE",45,10,1,3,19,20,11,26,4,94
"112","Bryson_Stott","SS/2B","PHI",44,8,1,4,22,19,14,34,6,93
"113","Josh_Bell","1B","MIA",39,8,0,6,20,23,20,35,0,93
"114","Anthony_Volpe","SS","NYY",39,9,1,6,24,22,18,49,9,92
"115","Leody_Taveras","OF","TEX",47,9,1,5,24,22,14,47,7,92
"116","Jake_Fraley","OF","CIN",34,7,0,6,20,23,17,33,6,92
"117","Whit_Merrifield","2B/OF","TOR",42,9,0,4,21,18,11,28,7,92
"118","J_T_Realmuto","C","PHI",40,9,1,6,22,23,14,42,5,91
